Symbol,Date,Time,Open,High,Low,Close
MNQ2022Z,06/12/2022,0833,11786,11796.5,11776.25,11782.75
MNQ2022Z,06/12/2022,0834,11782.5,11782.5,11768.75,11771
MNQ2022Z,06/12/2022,0835,11770.75,11785.25,11766.25,11766.75
MNQ2022Z,06/12/2022,0836,11766.5,11773.75,11761,11771.5
MNQ2022Z,06/12/2022,0837,11771.25,11780.5,11767.5,11775.25
MNQ2022Z,06/12/2022,0838,11775,11780.75,11770.25,11779
MNQ2022Z,06/12/2022,0839,11779.5,11781.25,11762,11763.25
MNQ2022Z,06/12/2022,0840,11763.25,11768.25,11756,11757
MNQ2022Z,06/12/2022,0841,11756.25,11759.75,11748.75,11753.5
MNQ2022Z,06/12/2022,0842,11753.75,11757.75,11743.5,11751
MNQ2022Z,06/12/2022,0843,11750.75,11753,11738.75,11740.75
MNQ2022Z,06/12/2022,0844,11740.5,11741.75,11722.5,11723
MNQ2022Z,06/12/2022,0845,11723,11723,11705,11712
MNQ2022Z,06/12/2022,0846,11712.25,11716.5,11705.75,11708.5
MNQ2022Z,06/12/2022,0847,11708.5,11717.75,11706.25,11711.25
MNQ2022Z,06/12/2022,0848,11711,11728,11711,11725.25
MNQ2022Z,06/12/2022,0849,11725.5,11736,11725,11730
MNQ2022Z,06/12/2022,0850,11730,11731,11718.75,11721
MNQ2022Z,06/12/2022,0851,11721.25,11722.75,11711.75,11713
MNQ2022Z,06/12/2022,0852,11713.5,11722.25,11711.75,11719.75
MNQ2022Z,06/12/2022,0853,11719.75,11722.5,11715.5,11715.75
MNQ2022Z,06/12/2022,0854,11715.25,11719.75,11695,11695
MNQ2022Z,06/12/2022,0855,11695,11706,11694,11695.25
MNQ2022Z,06/12/2022,0856,11695.25,11702.25,11681.5,11686.5
MNQ2022Z,06/12/2022,0857,11686.5,11689,11676.5,11680
MNQ2022Z,06/12/2022,0858,11680.5,11682,11667.75,11668
MNQ2022Z,06/12/2022,0859,11668,11675.25,11663.5,11664.75
MNQ2022Z,06/12/2022,0900,11664.75,11673,11657.75,11663.75
MNQ2022Z,06/12/2022,0901,11664.25,11674.75,11662.5,11667.75
MNQ2022Z,06/12/2022,0902,11667.75,11668,11651.25,11651.25
MNQ2022Z,06/12/2022,0903,11651.75,11653.75,11643,11653.5
MNQ2022Z,06/12/2022,0904,11653.25,11654.5,11646.5,11649.5
MNQ2022Z,06/12/2022,0905,11649,11656.25,11644,11644.5
MNQ2022Z,06/12/2022,0906,11644.5,11645,11632,11636
MNQ2022Z,06/12/2022,0907,11636,11636,11611.75,11612.5
MNQ2022Z,06/12/2022,0908,11612.5,11627.75,11611,11620.5
MNQ2022Z,06/12/2022,0909,11620.75,11631.25,11619,11631
MNQ2022Z,06/12/2022,0910,11631,11632.75,11623,11627.5
MNQ2022Z,06/12/2022,0911,11627.75,11635.5,11623.25,11635.5
MNQ2022Z,06/12/2022,0912,11635.75,11635.75,11623.75,11624.25
MNQ2022Z,06/12/2022,0913,11624.5,11632.75,11622.25,11631.75
